x,y,temp
45.0,188.49998474121094,10.646081232835058
156.875,94.50000762939453,27.17641420501002
250.0,65.0,28.425663084172015
275.625,169.50000762939453,22.534853515906036
269.375,242.5,9.145937181289014
251.25,201.50001525878906,13.332750370447002
278.75,140.0,25.86444153275204
276.25,222.99999237060547,11.05117239658
141.25,56.000003814697266,28.613834463460023
82.5,247.00000762939453,-4.1671879033369805
19.375,89.50000762939453,22.785748688290028
196.875,174.00001525878906,19.03538855942503
38.125,147.99999237060547,19.75409868865006
180.0,76.49999618530273,28.14601950661904
278.125,172.99999237060547,22.396338472819025
250.0,149.00001525878906,26.316575541319025
165.0,21.499996185302734,28.896091532392006
108.125,216.50001525878906,-1.1668998002449484
112.5,46.000003814697266,27.92648623078304
138.125,71.49999618530273,27.722633903221038
80.625,167.00000762939453,8.144969983132
176.875,46.000003814697266,28.786324894474035
270.625,150.0,24.458383170850027
12.5,105.0,22.30225278317505
25.625,242.00000762939453,-2.35603837768997
87.5,178.49998474121094,15.285028430560033
120.625,72.99999237060547,27.552756963586035
167.5,111.50001525878906,25.441055929354036
275.0,7.000007629394531,29.222777954767025
203.125,155.99998474121094,14.255312827234036
235.625,107.99999237060547,28.083295713523057
105.0,115.49999237060547,18.551892654310052
295.0,21.499996185302734,28.84904868757002
219.375,22.00000762939453,28.72360110137805
196.875,161.50001525878906,17.613649249249022
55.0,194.50000762939453,8.86368011235703
43.75,80.49999237060547,23.83375873126903
94.375,198.49998474121094,3.550452138850005
156.875,146.50001525878906,20.48848976614903
115.0,78.50000381469727,27.78535769631702
292.5,72.99999237060547,27.989210023879025
122.5,138.49998474121094,19.349007524905005
248.75,108.49998474121094,28.05193381697501
168.125,228.49998474121094,8.458588948612032
104.375,30.49999237060547,28.067614765249004
59.375,115.99998474121094,21.753419593585022
93.75,178.49998474121094,15.005384853007058
38.125,169.50000762939453,19.11379330079501
242.5,83.99999618530273,28.208743299715024
150.0,252.5,-3.6680110499479497
